title,price,paper_price,isbn,rating,page,publisher
مغزی که خود را تغییر می‌دهد,11000,22000,9786006958392,4.03,459,هورمزد
زندگی خود را دوباره بیافرینید,17500,35000,9786008392170,3.97,392,نشر شمشاد
جین ایر,33600,56000,9789641851547,4.48,663,نشر نی
گزینه‌ی ب,8000,18000,9786001182297,4.43,248,ذهن‌آویز
زندگیتان را در هفت روز تغییر دهید,6500,14000,9643414361,3.92,212,نشر قطره
راهنمای مردن با گیاهان دارویی,7200,12000,9786002298034,3.74,117,نشر چشمه
راز شاد زیستن,7500,15000,9649153810,4.66,150,نشر نیریز
دن کیشوت,17500,50000,964723094X,4.53,0,نشر ثالث
گاو بنفش,6200,12500,9786009489633,4.05,201,انتشارات کتیبه پارسی
۴۸  قانون قدرت,20000,40000,nan,3.59,851,هورمزد
هری پاتر و حفره اسرارآمیز,15000,21000,9645757045,4.74,389,انتشارات کتابسرای تندیس
چرا ملت‌ها شکست می‌خورند؟,16750,33500,9789643344528,4.34,576,انتشارات روزنه
بازیچه دست دیگران نشوید,11000,14000,9786002781628,4.07,232,گروه انتشاراتی ققنوس
از خدا بخواه او می دهد,8800,22000,9789644425622,4.1,381,انتشارات البرز
گربه راهنمای ما,9900,25000,9786009969722,3.94,192,شمعدونی
جرات داشته باش,9600,29000,9786009969708,4.16,352,شمعدونی
معجزه انضباط فردی,3000,6000,9786009282395,4.33,96,نشر شبگیر
حافظه نامحدود,7500,nan,9786009678495,4.26,150,نشر راویس
سیر عشق,7500,nan,nan,4.11,243,ناشرمولف
هنوز هم من,15000,46000,9786003840706,3.84,616,نشر آموت
سقای آب و ادب,11900,17000,9789643375973,4.51,264,انتشارات کتاب نیستان
از دو که حرف می‌زنم از چه حرف می‌زنم,9000,15000,9789643627553,4.4,305,نشر چشمه
روش‌های کنترل ذهن سیلوا,8000,nan,9647002130,4.03,207,انتشارات نقش و نگار
بار هستی,14900,28000,9789643412258,4.05,336,نشر قطره
دروغ‌گویی روی مبل,20500,44000,9786001199349,4.16,548,نشر قطره
ما چگونه، ما شدیم,14500,29500,9789649013350,4.29,480,انتشارات روزنه
هنر گفت و گو,4700,13000,9786643419455,3.93,180,نشر قطره
مردی به نام اوه,8000,25000,9786002296979,4.22,354,نشر چشمه
جنگ چهره‌ی زنانه ندارد,18000,30000,9786002296634,4.38,364,نشر چشمه
نبرد من,22000,55000,9789643518073,4.26,663,انتشارات نگاه
غرب چگونه غرب شد؟,8750,17500,9789643345778,4.18,296,انتشارات روزنه
بامداد خمار,13800,23000,9789644422560,4.38,439,انتشارات البرز
اشتباهات یک زن,8000,12000,9789644530227,3.88,112,انتشارات مجید
اتحادیه‌ی ابلهان,22800,38000,9786007283189,4.04,467,نشر چشمه
تانگ‌فو,10000,28000,9789646104761,4.2,328,انتشارات درسا
چشم‌هایش‌,10000,28000,9789646736897,4.14,283,انتشارات نگاه
عقاید یک دلقک,10000,20000,9789640014202,3.76,272,انتشارات امیرکبیر
شب‌های روشن,4200,7000,9789642090839,4.18,126,نشر ماهی
‌‫بهترین سال زندگی تو,3900,25000,9786009293698,4.35,272,انتشارات نگاه نوین
چهار اثر فلورانس اسکاول شین,10000,18000,9647002173,4.22,367,انتشارات نقش و نگار
زن‌ها مردها را از دست می‌دهند،چرا؟,13000,20000,9789644427336,4.18,184,نشر پارو
یک بعلاوه یک,12000,38000,9786003840225,4.12,568,نشر آموت
پاییز فصل آخر سال است,10800,18000,9786002294821,4.01,189,نشر چشمه
پس از تو,10000,37000,9786003840188,3.57,544,نشر آموت
مرد صدساله‌ای که از پنجره فرار کرد و ناپدید شد,22200,37000,9789644485978,4.3,372,نشر نیلوفر
ناتور دشت,7500,15000,9649175016,3.94,296,انتشارات نیلا
دنیای سوفی,17500,35000,9789644480416,4.36,600,نشر نیلوفر
وقتی نیچه گریست,18500,37000,9786001192029,4.54,480,نشر قطره
نامیرا,23100,31000,9789643375140,4.46,336,انتشارات کتاب نیستان
بیشعوری,6700,18900,9786007212066,3.92,232,انتشارات تیسا
برتری خفیف,16000,22000,9786002782342,4.47,391,گروه انتشاراتی ققنوس
سمفونی مردگان,11000,18000,9789643113445,4.34,350,گروه انتشاراتی ققنوس
من پیش از تو,12000,37000,9786006605425,4.15,536,نشر آموت
دختری که رهایش کردی,5900,30000,9786007845820,4.1,349,ناشرمولف
ملت عشق,19000,33000,9789643119195,4.41,510,گروه انتشاراتی ققنوس
ناگفته ‌های امپراطوری ساسانی,9000,15000,9786005733556,4.35,200,بنگاه ترجمه و نشر کتاب پارسه
کلیدر,11000,nan,9789648637625,4.55,614,انتشارات فرهنگ معاصر
رهبری,9000,24000,9786007642801,4.48,420,انتشارات کتاب کوله‌پشتی
الیور تویست,4800,nan,9789643694982,3.94,152,نشر افق
خاطرات حسنعلی خان مستوفی,10100,17000,9789643377601,3.91,224,انتشارات کتاب نیستان
دوستش داشتم,6000,10000,9789642090600,3.84,176,نشر ماهی
ترکم کن,22000,45000,9789642878833,3,468,انتشارات کتاب مرو
نمی‌توانی روز مرا خراب کنی,15000,25000,9786009876341,2.67,256,انتشارات البرز
مرد رویاها,33900,45000,9789643377489,4.77,528,انتشارات کتاب نیستان
